"filename", "language", "Vue", "JavaScript", "YAML", "XML", "SCSS", "CSS", "comment", "blank", "total"
"g:\MyVue\vue-element-admin\src\store\modules\tagsView.js", "JavaScript", 0, 156, 0, 0, 0, 0, 3, 12, 171
"g:\MyVue\vue-element-admin\src\store\modules\universal.js", "JavaScript", 0, 87, 0, 0, 0, 0, 1, 4, 92
"g:\MyVue\vue-element-admin\src\store\modules\user.js", "JavaScript", 0, 118, 0, 0, 0, 0, 29, 16, 163
"g:\MyVue\vue-element-admin\src\styles\btn.scss", "SCSS", 0, 0, 0, 0, 83, 0, 0, 17, 100
"g:\MyVue\vue-element-admin\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 0, 68, 0, 7, 16, 91
"g:\MyVue\vue-element-admin\src\styles\element-variables.scss", "SCSS", 0, 0, 0, 0, 13, 0, 10, 9, 32
"g:\MyVue\vue-element-admin\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 176, 0, 6, 37, 219
"g:\MyVue\vue-element-admin\src\styles\mixin.scss", "SCSS", 0, 0, 0, 0, 56, 0, 0, 11, 67
"g:\MyVue\vue-element-admin\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 0, 180, 0, 6, 41, 227
"g:\MyVue\vue-element-admin\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 35, 0, 4, 10, 49
"g:\MyVue\vue-element-admin\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 26, 0, 4, 6, 36
"g:\MyVue\vue-element-admin\src\utils\auth.js", "JavaScript", 0, 11, 0, 0, 0, 0, 5, 5, 21
"g:\MyVue\vue-element-admin\src\utils\clipboard.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
